2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第15期-2022年度-20250626_115110_870135.json20250626_115257_033877.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第16期-2022年度-20250626_115110_077082.json20250626_115257_040946.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第17期-2022年度-20250626_115109_332308.json20250626_115257_050232.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第18期-2022年度-20250626_115108_647612.json20250626_115257_057659.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第19期-2022年度-20250626_115108_025758.json20250626_115257_064671.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第1期-2022年度-20250626_115121_126655.json20250626_115257_071527.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第20期-2022年度-20250626_115107_293499.json20250626_115257_078403.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第21期-2022年度-20250626_115106_551358.json20250626_115257_086300.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第22期-2022年度-20250626_115105_859905.json20250626_115257_092938.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第23期-2022年度-20250626_115105_114981.json20250626_115257_101676.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第24期-2022年度-20250626_115104_423199.json20250626_115257_108507.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第25期-2022年度-20250626_115103_730729.json20250626_115257_115270.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第26期-2022年度-20250626_115103_028152.json20250626_115257_122453.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第27期-2022年度-20250626_115102_314225.json20250626_115257_129335.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第28期-2022年度-20250626_115101_526237.json20250626_115257_135340.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第29期-2022年度-20250626_115100_743200.json20250626_115257_140697.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第2期-2022年度-20250626_115120_414542.json20250626_115257_145450.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第30期-2023年度-20250626_115159_377845.json20250626_115257_149927.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第31期-2023年度-20250626_115158_659884.json20250626_115257_156954.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第32期-2023年度-20250626_115157_886088.json20250626_115257_164021.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第33期-2023年度-20250626_115157_031474.json20250626_115257_170602.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第34期-2023年度-20250626_115156_265071.json20250626_115257_179553.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第35期-2023年度-20250626_115155_519234.json20250626_115257_186565.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第36期-2023年度-20250626_115154_795281.json20250626_115257_193372.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第37期-2023年度-20250626_115153_989145.json20250626_115257_199132.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第38期-2023年度-20250626_115153_259648.json20250626_115257_206895.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第39期-2023年度-20250626_115152_511838.json20250626_115257_214556.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第3期-2022年度-20250626_115119_653742.json20250626_115257_223765.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第40期-2023年度-20250626_115151_801793.json20250626_115257_230739.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第41期-2023年度-20250626_115151_076693.json20250626_115257_238215.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第42期-2023年度-20250626_115150_297748.json20250626_115257_246593.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第43期-2023年度-20250626_115149_554531.json20250626_115257_254328.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第44期-2023年度-20250626_115148_765588.json20250626_115257_261002.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第45期-2023年度-20250626_115148_038510.json20250626_115257_268650.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第46期-2023年度-20250626_115147_303828.json20250626_115257_276334.json
2025-06-26 11:52:57 | INFO | bilibili-cleaner | 当前存储的文件为：音频榜单单期信息-热榜-第47期-2023年度-20250626_115146_652279.json20250626_115257_283440.json
